HTTrack3.49-2 launched on Sat, 16 Jul 2022 19:36:21 at http://www.htmlbible.com/
(/usr/bin/httrack -iC1 -r6 http://www.htmlbible.com/ )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

01:53:58	Warning: 	Retry after error -4 (Receive Error) at link www.htmlbible.com/kjv20/B04C030.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (Receive Error) at link www.htmlbible.com/kjv20/B04C031.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjv20/B13C017.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjv20/B14C008.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjv20/B32C004.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjv20/B38C011.htm (from www.htmlbible.com/kjv20/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjvlarge/B11C002.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjvlarge/B12C015.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:58	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjvlarge/B19C124.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:58	Warning: 	Retry after error -4 (Receive Error) at link www.htmlbible.com/kjvlarge/B19C125.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:58	Warning: 	Retry after error -4 (Receive Error) at link www.htmlbible.com/kjvlarge/B19C126.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:58	Warning: 	Retry after error -2 (Receive Time Out) at link www.htmlbible.com/kjvlarge/B23C040.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:59	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjvlarge/B42C013.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:59	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/kjvlarge/B43C008.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:59	Warning: 	Retry after error -2 (Receive Time Out) at link www.htmlbible.com/kjvlarge/B60C004.htm (from www.htmlbible.com/kjvlarge/index.htm)
01:53:59	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/kjvapocrypha/B68C008.htm (from www.htmlbible.com/sacrednamebiblecom/kjvapocrypha/index.htm)
01:53:59	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/latvian/B41C001.htm (from www.htmlbible.com/sacrednamebiblecom/latvian/index.htm)
01:54:01	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B18C022.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:01	Warning: 	Retry after error -2 (Receive Time Out) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C015.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:01	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B24C047.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:02	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B50C001.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:02	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B50C002.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:02	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B50C003.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:02	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/moderngreek/B50C004.htm (from www.htmlbible.com/sacrednamebiblecom/moderngreek/index.htm)
01:54:02	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B02C039.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:04	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B23C016.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:04	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B60C002.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:04	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B60C003.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:04	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B60C004.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:04	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/rumanian/B60C005.htm (from www.htmlbible.com/sacrednamebiblecom/rumanian/index.htm)
01:54:05	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/swahili/B40C023.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/swahili/B43C005.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Warning: 	Retry after error -4 (No data (connection closed)) at link www.htmlbible.com/sacrednamebiblecom/swahili/B43C011.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/swahili/B50C001.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
01:54:05	Error: 	"Not Found" (404) at link www.htmlbible.com/sacrednamebiblecom/swahili/B50C002.htm (from www.htmlbible.com/sacrednamebiblecom/swahili/index.htm)
